iter	Passed	Remaining
428	1754	1517
429	1757	1512
430	1762	1509
431	1767	1505
432	1770	1500
433	1774	1496
434	1778	1492
435	1782	1488
436	1785	1483
437	1789	1479
438	1793	1475
439	1797	1470
440	1800	1466
441	1804	1461
442	1808	1457
443	1812	1453
444	1816	1448
445	1819	1444
446	1824	1440
447	1828	1436
448	1832	1432
449	1836	1428
450	1840	1423
451	1843	1419
452	1847	1415
453	1851	1410
454	1854	1406
455	1858	1401
456	1862	1397
457	1865	1393
458	1869	1388
459	1873	1384
460	1877	1380
461	1880	1375
462	1884	1371
463	1888	1367
464	1892	1363
465	1896	1358
466	1899	1354
467	1903	1350
468	1907	1346
469	1910	1341
470	1914	1337
471	1918	1333
472	1921	1328
473	1925	1324
474	1929	1320
475	1933	1315
476	1937	1311
477	1941	1308
478	1945	1303
479	1949	1299
480	1952	1295
481	1956	1291
482	1960	1286
483	1964	1282
484	1968	1278
485	1972	1274
486	1976	1270
487	1981	1266
488	1985	1262
489	1989	1258
490	1994	1255
491	1998	1251
492	2003	1247
493	2008	1244
494	2012	1239
495	2016	1235
496	2019	1231
497	2023	1227
498	2027	1222
499	2031	1219
500	2035	1214
501	2039	1210
502	2043	1206
503	2046	1202
504	2051	1198
505	2055	1194
506	2058	1189
507	2061	1185
508	2065	1180
509	2069	1176
510	2073	1172
511	2077	1168
512	2081	1164
513	2084	1159
514	2088	1155
515	2091	1151
516	2096	1147
517	2099	1143
518	2103	1139
519	2107	1134
520	2111	1130
521	2115	1126
522	2118	1121
523	2122	1117
524	2126	1113
525	2129	1109
526	2133	1105
527	2137	1101
528	2141	1097
529	2145	1092
530	2150	1089
531	2153	1084
532	2157	1080
533	2161	1076
534	2165	1072
535	2169	1068
536	2172	1064
537	2176	1059
538	2180	1055
539	2183	1051
540	2187	1047
541	2190	1042
542	2195	1038
543	2198	1034
544	2202	1030
545	2205	1026
546	2209	1022
547	2213	1018
548	2217	1013
549	2222	1010
550	2225	1005
551	2229	1001
552	2232	997
553	2236	993
554	2240	989
555	2244	984
556	2248	980
557	2252	976
558	2256	972
559	2259	968
560	2263	964
561	2267	960
562	2271	956
563	2274	951
564	2279	947
565	2282	943
566	2286	939
567	2290	935
568	2294	931
569	2297	927
570	2301	922
571	2305	919
572	2309	914
573	2313	910
574	2317	906
575	2320	902
576	2324	898
577	2328	894
578	2331	890
579	2335	885
580	2339	881
581	2343	877
582	2347	873
583	2351	869
584	2355	865
585	2359	861
586	2362	857
587	2366	853
588	2370	849
589	2374	845
590	2377	840
591	2381	836
592	2385	832
593	2389	828
594	2392	824
595	2396	820
596	2400	816
