iter	RMSE
234	0.118945634
235	0.1188466624
236	0.1186912358
237	0.1184333477
238	0.1182305733
239	0.1179318887
240	0.1177445791
241	0.1174505588
242	0.1171442235
243	0.1168861784
244	0.1164704625
245	0.1161118407
246	0.115931164
247	0.1157320319
248	0.1155581048
249	0.1153638247
250	0.1151517798
251	0.1148216816
252	0.114750454
253	0.1146759274
254	0.1143584924
255	0.1140509629
256	0.113859158
257	0.1135043993
258	0.1132557472
259	0.1129645227
260	0.1127391849
261	0.1125020982
262	0.1123734616
263	0.1122411587
264	0.1119392814
265	0.1117001334
266	0.1114222702
267	0.1113569012
268	0.1110615405
269	0.1109782164
270	0.1108153347
271	0.1107610085
272	0.1106217069
273	0.1102612901
274	0.1100776502
275	0.1098074529
276	0.1095588428
277	0.1093524606
278	0.1092093345
279	0.108899733
280	0.108665172
281	0.1083878773
282	0.1081447919
283	0.1079063508
284	0.1076893573
285	0.1075530993
286	0.1072861277
287	0.1070623862
288	0.1067722451
289	0.1065706976
290	0.106343759
291	0.1060486609
292	0.1058933243
293	0.1055319881
294	0.1054410639
295	0.1052965778
296	0.1050613226
297	0.1049329257
298	0.1048637665
299	0.1045391154
300	0.1042209162
301	0.1041264026
302	0.10407291
303	0.1039022739
304	0.1036106903
305	0.1033050027
306	0.1032599913
307	0.1030680148
308	0.1029022317
309	0.1026243888
310	0.1023487607
311	0.1020462449
312	0.1019178035
313	0.1016582041
314	0.1014732823
315	0.1013205842
316	0.1011462304
317	0.1010112813
318	0.1009457874
319	0.100719434
320	0.100516633
321	0.1002596718
322	0.100218838
323	0.09998897682
324	0.09975078169
325	0.09952409183
326	0.09928319438
327	0.09906944075
328	0.09893797454
329	0.09870192257
330	0.09834764381
331	0.09823312914
332	0.09801095966
333	0.09785167958
334	0.09772611865
335	0.09752405867
336	0.09748202708
337	0.0973170561
338	0.09715262053
339	0.0969989735
340	0.09679920927
341	0.09666148184
342	0.09652105505
343	0.09636573369
344	0.0962037502
345	0.09600137494
346	0.09587588303
347	0.09563012013
348	0.09538149951
349	0.0952539178
350	0.09518206487
351	0.0950896539
352	0.09499482367
353	0.09486482181
354	0.09466840987
355	0.09454884769
356	0.09447125883
357	0.09429749258
358	0.0941753009
359	0.09399962203
360	0.09386145479
361	0.09360322297
362	0.093477735
363	0.09327171578
364	0.09311828272
365	0.0929756658
366	0.09280909321
367	0.09268783498
368	0.09247627736
369	0.09229211365
370	0.09210137481
371	0.09192362202
372	0.09173942386
373	0.09158582101
374	0.09147446724
375	0.09126416855
376	0.09109549164
377	0.09087063313
378	0.09070392008
379	0.0905564505
380	0.09036505849
381	0.09024443352
382	0.09002070528
383	0.08991445631
384	0.08977402871
385	0.08960150364
386	0.08940696556
387	0.08932578521
388	0.08921448234
389	0.08907293799
390	0.0888365064
391	0.08868170549
392	0.08848521979
393	0.08839630636
394	0.08823684657
395	0.08806713476
396	0.08791723934
397	0.08777559736
398	0.08758437919
399	0.08744417528
400	0.08742473989
401	0.08731986216
402	0.08722541195
403	0.08705582084
404	0.08696445655
405	0.08684176143
406	0.086738416
407	0.08656159595
408	0.08640195671
409	0.08633779115
410	0.0861373288
411	0.08604793623
412	0.08591379674
413	0.08577135383
414	0.08567271896
415	0.08552821646
416	0.08536732819
417	0.0852297981
418	0.08512034415
419	0.08491072816
420	0.08481592523
421	0.08462685704
422	0.08444649905
423	0.08430746373
424	0.08423411647
425	0.08409787549
426	0.08399542884
427	0.08383424209
428	0.08366428609
429	0.08349667785
430	0.08332075571
431	0.0831504296
432	0.08301717052
433	0.08292132167
434	0.08276787598
435	0.08262235831
436	0.08255391962
437	0.08233861872
438	0.08219289545
439	0.08205176343
440	0.08194750904
441	0.08186011844
442	0.08176371238
443	0.08162262251
444	0.08149942637
445	0.08147256546
446	0.0813447352
447	0.08127414497
448	0.08118300539
449	0.08107639157
450	0.08096647163
451	0.08086828642
452	0.08070500483
453	0.08057581974
454	0.08046141572
455	0.08033060301
456	0.08019961465
457	0.08008489094
458	0.07989760474
459	0.07980688924
460	0.07961443688
461	0.07955865105
462	0.07940053942
463	0.07927169936
464	0.07921505825
465	0.079063085
466	0.07897296079
467	0.07883433585
468	0.07875962276
469	0.07865327873
470	0.07861207872
471	0.07849429026
472	0.07835750185
473	0.07823407341
474	0.0781678496
475	0.07809103267
476	0.07800425825
477	0.07783623786
478	0.07773672753
479	0.0776025055
480	0.07754721433
481	0.07746337171
482	0.07729382634
483	0.07718856689
484	0.07706665909
485	0.07695992537
486	0.07689124952
487	0.07670789339
488	0.07658063853
489	0.07649802123
490	0.07637915342
491	0.07623851559
492	0.0761645687
493	0.07602153652
494	0.07586231413
495	0.07570475778
496	0.07565797199
497	0.07549981154
498	0.075367147
499	0.07527017045
500	0.07519068902
501	0.07510350209
502	0.07499737568
503	0.07485909339
504	0.07474740736
505	0.0747303951
506	0.07469956228
507	0.07456997476
508	0.07446809256
509	0.07433225729
510	0.07420204471
511	0.07409825802
512	0.07405882601
513	0.07404385745
514	0.07403342039
515	0.07389195493
516	0.07376216024
517	0.07361979388
518	0.07348501641
519	0.07337471085
520	0.07323504833
521	0.07320580221
522	0.07312346915
523	0.07307649313
524	0.07296915867
525	0.07285387953
526	0.07278311778
527	0.07267264829
528	0.07260387532
529	0.0725173567
530	0.07242424382
531	0.07223625059
532	0.07210952454
533	0.07204131806
534	0.07185808874
535	0.07172187793
536	0.07159755177
537	0.07149519571
538	0.07135971406
539	0.07125743076
540	0.07114746984
541	0.07108534916
542	0.07101051295
543	0.07094947817
544	0.07090616773
545	0.07084152384
546	0.07077518686
547	0.07065938144
548	0.07056619727
549	0.0704440001
550	0.07036938236
551	0.070343195
552	0.07018728311
553	0.07016982939
554	0.07006826084
555	0.06996219297
556	0.06992649734
557	0.06980244313
558	0.06971788319
559	0.06959929416
560	0.06953513479
561	0.06942915992
562	0.06939850906
563	0.06925633167
564	0.06915562783
565	0.06903888971
566	0.06892613303
567	0.06876231993
568	0.06870183453
569	0.06858560921
570	0.0684835985
571	0.06837131884
572	0.06827052295
573	0.06820186191
574	0.06809360201
575	0.06803879653
576	0.06798457879
577	0.06791332316
578	0.06781484236
579	0.06774758995
580	0.06757513457
581	0.06748846175
582	0.06737382344
583	0.06736227585
584	0.06727754478
585	0.06716543562
586	0.06709125995
587	0.06700782074
588	0.06692631932
589	0.06683516128
590	0.06674309472
591	0.06661418908
592	0.06656280925
593	0.06646189987
594	0.06637855523
595	0.06630806771
596	0.06625881071
597	0.06617942713
598	0.06609676134
599	0.06598664513
600	0.06585309628
601	0.06575817664
602	0.06564535452
603	0.06560077293
604	0.06552468252
605	0.06544687413
606	0.06533068702
607	0.06524001884
608	0.06514107445
609	0.06509673109
610	0.06505804131
611	0.06496363514
612	0.0649157992
613	0.06483457291
614	0.06475671537
615	0.06465996754
616	0.06456790206
617	0.06449957993
618	0.06439365263
619	0.06433202227
620	0.0642675893
621	0.06417984811
622	0.06409595295
623	0.06402993454
624	0.06393697573
625	0.06388179277
626	0.06380146489
627	0.063757068
628	0.06374761868
629	0.06366865652
630	0.06364268359
631	0.06351399722
632	0.06344099075
633	0.06337873575
634	0.0632595121
635	0.06313306613
636	0.06307541921
637	0.0630407287
638	0.06295790176
639	0.06294242321
640	0.06285165696
641	0.06274920667
642	0.0626509613
643	0.06254892112
644	0.06248240631
645	0.06239971635
646	0.06235667962
647	0.0622322831
648	0.06215484086
649	0.06204746838
650	0.06199408089
651	0.061920981
652	0.06182714639
653	0.06172383398
654	0.06165333833
655	0.0615948295
656	0.06149912704
657	0.06144328394
658	0.061436141
659	0.06137984184
660	0.06128742621
661	0.06122093016
662	0.06116729624
663	0.06106987113
664	0.06105515307
665	0.06097748072
666	0.06087976001
667	0.06077004221
668	0.06069379548
669	0.06066158242
670	0.0606116302
671	0.06050749686
672	0.06047402592
673	0.0603990701
674	0.06032073099
675	0.06025929504
676	0.06018036575
677	0.06010354012
678	0.06000188658
679	0.05990644835
680	0.05983632997
681	0.05978584699
682	0.05976724414
683	0.05976018828
684	0.05968526328
685	0.05963039266
686	0.05951195528
687	0.05945253618
688	0.05936648936
689	0.05935650128
690	0.05929614651
691	0.05922301904
692	0.0591160329
693	0.05903358748
694	0.05894490568
695	0.05888336388
696	0.05881478976
697	0.05875648925
698	0.05872475199
699	0.05865465669
700	0.05864463885
701	0.05853382105
702	0.05851432596
703	0.05849450251
704	0.0583929152
705	0.0583011883
706	0.05824106532
707	0.05817604122
708	0.05812799578
709	0.05806064106
710	0.05798054234
711	0.05793817156
712	0.05788205789
713	0.05781705456
714	0.05772663023
715	0.05764530306
716	0.05763228663
717	0.05758121889
718	0.05753202689
719	0.05743257946
720	0.05734498177
721	0.05725376292
722	0.05717097053
723	0.05709291625
724	0.05702029491
725	0.05694428372
726	0.05685716271
727	0.05674295324
728	0.05668171469
729	0.05661312523
730	0.05653961554
731	0.05648680297
732	0.05644508599
733	0.05643936809
734	0.05634980529
735	0.05632748765
736	0.05627137385
737	0.05620641503
738	0.05616376928
739	0.05611189208
740	0.05602560556
741	0.05595374916
742	0.05588003885
743	0.05582772164
744	0.05576872105
745	0.05570226823
746	0.05561333166
747	0.05552265388
748	0.0554063168
749	0.05532351493
750	0.05524385104
751	0.05515699268
752	0.05508176636
753	0.05500085236
754	0.05496351521
755	0.05490343586
756	0.05482940008
757	0.05477639139
758	0.05468976783
759	0.0546543142
760	0.05462950742
761	0.05456947151
762	0.0545099238
763	0.054451463
764	0.05436266244
765	0.0543015777
766	0.05421003932
767	0.05416086163
768	0.05410944652
769	0.05403651191
770	0.05396996212
771	0.05392799553
772	0.05386541784
773	0.05378382377
774	0.05370274687
775	0.05359047617
776	0.05358269684
777	0.0535161133
778	0.05344486284
779	0.05335872838
780	0.05332117755
781	0.05324622286
782	0.05318593613
783	0.05312634044
784	0.05306302472
785	0.05300475075
786	0.05296834831
787	0.05292576136
788	0.05286247614
789	0.05279700132
790	0.05272012555
791	0.05266437658
792	0.05261380336
793	0.05252689654
794	0.05247537047
795	0.05240133706
796	0.05232373537
797	0.05226535467
798	0.05217609461
799	0.05212333504
